Channel_Metadata_Filename,Channel_Metadata_ID
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260070000000000_metadata.csv,syn25126398
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260080000000000_metadata.csv,syn25126397
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260090000000000_metadata.csv,syn25126396
mxif_level_2/AFsubtracted/metadata/HTA11_3361_20000010115220260100000000000_metadata.csv,syn25126395
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280010000000000_metadata.csv,syn25126394
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280020000000000_metadata.csv,syn25126393
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280030000000000_metadata.csv,syn25126392
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280040000000000_metadata.csv,syn25126391
mxif_level_2/AFsubtracted/metadata/HTA11_3410_20000010115220280050000000000_metadata.csv,syn25126390
mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280010000000000_metadata.csv,syn25126461
mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280020000000000_metadata.csv,syn25126458
mxif_level_2/AFsubtracted/metadata/HTA11_347_20000010115220280030000000000_metadata.csv,syn25126457
mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280010000000000_metadata.csv,syn25126456
mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280020000000000_metadata.csv,syn25126455
mxif_level_2/AFsubtracted/metadata/HTA11_377_20000010115220280030000000000_metadata.csv,syn25126454
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260010000000000_metadata.csv,syn25126453
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260020000000000_metadata.csv,syn25126452
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260030000000000_metadata.csv,syn25126450
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260040000000000_metadata.csv,syn25126449
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260050000000000_metadata.csv,syn25126448
mxif_level_2/AFsubtracted/metadata/HTA11_392_30000110115220260060000000000_metadata.csv,syn25126447
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260010000000000_metadata.csv,syn25126446
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260020000000000_metadata.csv,syn25126445
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260030000000000_metadata.csv,syn25126444
mxif_level_2/AFsubtracted/metadata/HTA11_411_20000010115220260040000000000_metadata.csv,syn25126443
mxif_level_2/AFsubtracted/metadata/HTA11_4255_20000010115220280010000000000_metadata.csv,syn25126388
mxif_level_2/AFsubtracted/metadata/HTA11_4255_20000010115220280020000000000_metadata.csv,syn25126387
mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280010000000000_metadata.csv,syn25126386
mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280020000000000_metadata.csv,syn25126385
mxif_level_2/AFsubtracted/metadata/HTA11_4781_20000010115220280030000000000_metadata.csv,syn25126384
mxif_level_2/AFsubtracted/metadata/HTA11_4814_20000010115220260010000000000_metadata.csv,syn25126383
mxif_level_2/AFsubtracted/metadata/HTA11_5212_20000010115220280010000000000_metadata.csv,syn25126382
mxif_level_2/AFsubtracted/metadata/HTA11_5216_20000010115220280010000000000_metadata.csv,syn25126381
mxif_level_2/AFsubtracted/metadata/HTA11_5216_20000010115220280020000000000_metadata.csv,syn25126380
mxif_level_2/AFsubtracted/metadata/HTA11_5363_20000010115220260010000000000_metadata.csv,syn25126379
mxif_level_2/AFsubtracted/metadata/HTA11_546_20000010115220280010000000000_metadata.csv,syn25126441
mxif_level_2/AFsubtracted/metadata/HTA11_546_20000010115220280020000000000_metadata.csv,syn25126440
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260010000000000_metadata.csv,syn25126378
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260020000000000_metadata.csv,syn25126377
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260030000000000_metadata.csv,syn25126376
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260040000000000_metadata.csv,syn25126374
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260050000000000_metadata.csv,syn25126373
mxif_level_2/AFsubtracted/metadata/HTA11_5994_20000010115220260060000000000_metadata.csv,syn25126372
mxif_level_2/AFsubtracted/metadata/HTA11_6025_20000010115220280010000000000_metadata.csv,syn25126371
mxif_level_2/AFsubtracted/metadata/HTA11_6025_20000010115220280020000000000_metadata.csv,syn25126370
mxif_level_2/AFsubtracted/metadata/HTA11_6025_20000010115220280030000000000_metadata.csv,syn25126369
mxif_level_2/AFsubtracted/metadata/HTA11_6025_20000010115220280040000000000_metadata.csv,syn25126368
mxif_level_2/AFsubtracted/metadata/HTA11_6134_20000010115220260010000000000_metadata.csv,syn25126367
mxif_level_2/AFsubtracted/metadata/HTA11_6147_20000010115220280010000000000_metadata.csv,syn25126366
mxif_level_2/AFsubtracted/metadata/HTA11_6310_20000010115220280010000000000_metadata.csv,syn25126365
mxif_level_2/AFsubtracted/metadata/HTA11_6310_20000010115220280020000000000_metadata.csv,syn25126364
mxif_level_2/AFsubtracted/metadata/HTA11_6310_20000010115220280030000000000_metadata.csv,syn25126363
mxif_level_2/AFsubtracted/metadata/HTA11_6310_20000010115220280040000000000_metadata.csv,syn25126362
mxif_level_2/AFsubtracted/metadata/HTA11_696_20000010115220280010000000000_metadata.csv,syn25126439
mxif_level_2/AFsubtracted/metadata/HTA11_83_20000010115220280010000000000_metadata.csv,syn25126464
mxif_level_2/AFsubtracted/metadata/HTA11_83_20000010115220280020000000000_metadata.csv,syn25126463
mxif_level_2/AFsubtracted/metadata/HTA11_83_20000010115220280030000000000_metadata.csv,syn25126462
mxif_level_2/AFsubtracted/metadata/HTA11_866_20000010115220260010000000000_metadata.csv,syn25126438
mxif_level_2/AFsubtracted/metadata/HTA11_866_20000010115220260020000000000_metadata.csv,syn25126435
imaging_channel_data/TMA01_Ph1_sec06_ChannelMetadata.txt,syn52287315
imaging_channel_data/TMA01_Ph1_sec12_ChannelMetadata.txt,syn52287314
imaging_channel_data/TMA01_Ph3_27.txt,syn51526282
imaging_channel_data/HTA9_15_388801_ChannelMetadata.txt,syn51325432
imaging_channel_data/HTA9_15_388809_ChannelMetadata.txt,syn51325431
imaging_channel_data/HTA9_9_344272_ChannelMetadata.txt,syn53254478
imaging_channel_data/HTA9_12_348127_ChannelMetadata.txt,syn53254475
imaging_channel_data/HTA9_9_357625_ChannelMetadata.txt,syn53254480
imaging_channel_data/HTA9_13_357633_ChannelMetadata.txt,syn53254476
imaging_channel_data/HTA9_12_357643_ChannelMetadata.txt,syn53254477
imaging_level_2/HTA13_1_768453_ChannelMetadata.csv,syn52288397
imaging_level_2/HTA13_1_768457_ChannelMetadata.csv,syn52288398
imaging_level_2/HTA13_1_768487_ChannelMetadata.csv,syn52288399
CODEX_Imaging_level_2_BRCA23/HT271B1-S1H6A5_20230420.csv,syn53271282
CODEX_Imaging_level_2_BRCA23/HT110B1-S1H4_20221216.csv,syn53271289
CODEX_Imaging_level_2_BRCA23/HT171B1-S1H9A1-4_left_20230512.csv,syn53271286
CODEX_Imaging_level_2_BRCA23/HT171B1-S1H9A1-4_right_20230512.csv,syn53271244
CODEX_Imaging_level_2_BRCA23/HT171B1-S1H9A1-A4_left_20230526.csv,syn53271267
CODEX_Imaging_level_2_BRCA23/HT171B1-S1H9A1-A4_right_20230526.csv,syn53271269
CODEX_Imaging_level_2_BRCA23/HT206B1-H1_20220625.csv,syn53271249
CODEX_Imaging_level_2_BRCA23/HT206B1-S1H2L4_20221028.csv,syn53271260
CODEX_Imaging_level_2_BRCA23/HT206B1-S1H5_left_20230701.csv,syn53271264
CODEX_Imaging_level_2_BRCA23/HT206B1-S1H5_right_20230701.csv,syn53271265
CODEX_Imaging_level_2_BRCA23/HT243B1-S1H4_20221216.csv,syn53282019
CODEX_Imaging_level_2_BRCA23/HT243B1-S1H4A4_20230420.csv,syn53271246
CODEX_Imaging_level_2_BRCA23/HT243B1-S1H4A4_left_20230512.csv,syn53271279
CODEX_Imaging_level_2_BRCA23/HT243B1-S1H4A4_left_20230526.csv,syn53271259
CODEX_Imaging_level_2_BRCA23/HT243B1-S1H4A4_right_20230512.csv,syn53271288
CODEX_Imaging_level_2_BRCA23/HT243B1-S1H4A4_right_20230526.csv,syn53271285
CODEX_Imaging_level_2_BRCA23/HT271B1-S1H6A5_left_20230512.csv,syn53271256
CODEX_Imaging_level_2_BRCA23/HT271B1-S1H6A5_left_20230526.csv,syn53271266
CODEX_Imaging_level_2_BRCA23/HT271B1-S1H6A5_middle_20230526.csv,syn53271254
CODEX_Imaging_level_2_BRCA23/HT271B1-S1H6A5_right_20230512.csv,syn53271251
CODEX_Imaging_level_2_BRCA23/HT271B1-S1H6A5_right_20230526.csv,syn53271270
CODEX_Imaging_level_2_BRCA23/HT297B1-S1H1_left_20230701.csv,syn53271275
CODEX_Imaging_level_2_BRCA23/HT297B1-S1H1_right_20230701.csv,syn53271281
CODEX_Imaging_level_2_BRCA23/HT305B1-S1H1_20221216.csv,syn53271287
CODEX_Imaging_level_2_BRCA23/HT308B1-S1H5A4_20230420.csv,syn53271272
CODEX_Imaging_level_2_BRCA23/HT308B1-S1H5A4_left_20230512.csv,syn53271274
CODEX_Imaging_level_2_BRCA23/HT308B1-S1H5A4_left_20230526.csv,syn53271245
CODEX_Imaging_level_2_BRCA23/HT308B1-S1H5A4_right_20230512.csv,syn53271248
CODEX_Imaging_level_2_BRCA23/HT308B1-S1H5A4_right_20230526.csv,syn53271283
CODEX_Imaging_level_2_BRCA23/HT323B1-A1_20220210.csv,syn53271273
CODEX_Imaging_level_2_BRCA23/HT323B1-H1_20220804.csv,syn53271280
CODEX_Imaging_level_2_BRCA23/HT323B1-H1A4_20220210.csv,syn53271278
CODEX_Imaging_level_2_BRCA23/HT323B1-H3_20220211.csv,syn53271258
CODEX_Imaging_level_2_BRCA23/HT339B1-H1A1_20220302.csv,syn53271252
CODEX_Imaging_level_2_BRCA23/HT339B1-H2A1_20220302.csv,syn53271276
CODEX_Imaging_level_2_BRCA23/HT339B2-H2_left_20230701.csv,syn53271268
CODEX_Imaging_level_2_BRCA23/HT339B2-H2_right_20230701.csv,syn53271271
CODEX_Imaging_level_2_BRCA23/HT365B1_S1H1_20230221.csv,syn53271261
CODEX_Imaging_level_2_BRCA23/HT397B1-H2A2_20220505.csv,syn53271277
CODEX_Imaging_level_2_BRCA23/HT397B1-H3A1_20220429.csv,syn53271262
CODEX_Imaging_level_2_BRCA23/HT397B1-S1H3A1-U2_20230315.csv,syn53271284
CODEX_Imaging_level_2_BRCA23/HT397B1-S1H3A1-U22_20230316.csv,syn53271253
CODEX_Imaging_level_2_BRCA23/HT397B1-S1H3A1-U22_20230413.csv,syn53271250
CODEX_Imaging_level_2_BRCA23/HT397B1-S1H3A1-U31_20230407.csv,syn53271263
CODEX_Imaging_level_2_BRCA23/HT480B1-S1H2_20220915.csv,syn53271247
CODEX_Imaging_level_2_BRCA23/HT480B1-S1H2_20220917.csv,syn53282018
CODEX_Imaging_level_2_BRCA23/HT565B1-H2_20230427.csv,syn53271255
CODEX_Imaging_level_2_BRCA23/HT565B1-S1H2_left_20230701.csv,syn53282020
CODEX_Imaging_level_2_BRCA23/HT565B1-S1H2_right_20230701.csv,syn53271257
