Channel_Metadata_Filename,channel_metadata_url,entityId,File_Size,md5
mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280010000000000_metadata.csv,syn25126420,19188,ce9f84679f111daf5b195e0b914a079d
mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280020000000000_metadata.csv,syn25126419,19188,85d14d71b453de2a3369d83fefb87533
mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_2951_20000010115220280030000000000_metadata.csv,syn25126418,19188,93ae34109754d6baa2d58ddf269cf667
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280010000000000_metadata.csv,syn25126417,19188,c4fa4d2737e89b614441fa7cc9ad8f80
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280020000000000_metadata.csv,syn25126416,19188,2c2a35ccdc290b47ade09d0146b491a2
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280030000000000_metadata.csv,syn25126415,19160,d1c4d5e09cfd482d01d8e56bc8979d01
mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280040000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3077_20000010115220280040000000000_metadata.csv,syn25126414,19188,a17dce55c12c7d4631416c1058351f74
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260010000000000_metadata.csv,syn25126413,17811,cf584550c0e31af6e1eb310f6eee590c
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260020000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260020000000000_metadata.csv,syn25126412,17811,7c27504e3b3eefb77e8edbdb526b14f4
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260030000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260030000000000_metadata.csv,syn25126411,17811,877168c4e5074c2a38bb0c5683b11793
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260040000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260040000000000_metadata.csv,syn25126410,17811,2515879ed66551102383b2f45d2f3ffe
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260050000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260050000000000_metadata.csv,syn25126409,17811,59fad53678ded1a4dcdde7656cff7122
mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260060000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3252_20000010115220260060000000000_metadata.csv,syn25126407,17811,d15b190ac8164a341561c04b00f0b217
mxif_level_2/AFsubtracted/metadata/HTA11_3331_20000010115220280010000000000_metadata.csv,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-vanderbilt/mxif_level_2/AFsubtracted/metadata/HTA11_3331_20000010115220280010000000000_metadata.csv,syn25126406,19188,6bcd12adb0fca3e29db719e9f04f6ab2
