sample_id,sample_description,biosample_accession,sample_type,sample_type_category,sample_tumor_status,sample_anatomic_site,sample_age_at_collection,derived_from_specimen,acquisition_method_type,tumor_tissue_type,tissue_fixative,embedding_medium,staining_method,objective,nominal_magnification,immersion,lensNA,working_distance,file_url_in_cds
HTA6_107_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/58_M-012_2_Cohort0_1595626_cleaned.svs
HTA6_118_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/72_M-025_2_Cohort0_1595640_cleaned.svs
HTA6_119_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/73_M-026_1_Cohort0_1595641_cleaned.svs
HTA6_119_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/74_M-026_2_Cohort0_1595642_cleaned.svs
HTA6_2447_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/75_M-027_1_Cohort0_1595733_cleaned.svs
HTA6_120_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/76_M-028_1_Cohort0_1595644_cleaned.svs
HTA6_2448_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/79_M-029_2_Cohort0_1595647_cleaned.svs
HTA6_129_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/82_MC-014_B9_Cohort0_1595650_cleaned.svs
HTA6_130_16,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/84_MC-015_C13_Cohort0_1595651__incorrect_slide_label__cleaned.svs
HTA6_130_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/85_MC-015_C17_Cohort0_1595652__incorrect_slide_label__cleaned.svs
HTA6_131_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/86_MC-016_B23_Cohort0_1595654__incorrect_slide_label__cleaned.svs
HTA6_131_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/87_MC-016_B24_Cohort0_1595655__incorrect_slide_label__cleaned.svs
HTA6_2487_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/88_MC-017_C2_Cohort0_1595736__incorrect_slide_label__cleaned.svs
HTA6_132_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/90_MC-018_A26_Cohort0_1595658__incorrect_slide_label__cleaned.svs
HTA6_2489_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/94_UAB-005_A5_Cohort0_1595734_cleaned.svs
HTA6_154_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/99_UAB-009_A9_Cohort0_1595735_cleaned.svs
HTA6_1_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/BCM-001_A10_2_1565848_cleaned.svs
HTA6_2_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/BCM-002_A15_1_1565851_cleaned.svs
HTA6_3_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/BCM-003_A19_2_1565853_cleaned.svs
HTA6_4_3,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/BCM-004_E5_2_1565854_cleaned.svs
HTA6_5_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/BCM-005_A57_cleaned.svs
HTA6_5_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/BCM-005_A58_cleaned.svs
HTA6_2468_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-001NR_A6_Cohort0_1598457_cleaned.svs
HTA6_6_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-008NR_F13_Cohort0_1598458_cleaned.svs
HTA6_2456_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-035NR_A34_Cohort0_1598462_cleaned.svs
HTA6_7_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-039NR_F21_Cohort0_1598463_cleaned.svs
HTA6_8_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-041R_A23_HE_1568630_cleaned.svs
HTA6_8_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-041R_A35_HE_1568631_cleaned.svs
HTA6_10_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-046NR_A8_Cohort0_1598469_cleaned.svs
HTA6_2451_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-047NR_A10_Cohort0_1598470_cleaned.svs
HTA6_11_27,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-048R_C19_HE_1568632_cleaned.svs
HTA6_11_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-048R_C38_Cohort1_1598473_cleaned.svs
HTA6_12_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-049R_D10_HE_1568634_cleaned.svs
HTA6_12_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-049R_D6_HE_1568635_cleaned.svs
HTA6_2452_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-051R_A19_Cohort2_1598475_cleaned.svs
HTA6_13_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-100R_A5_HE_1568637_cleaned.svs
HTA6_14_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-101R_A6_HE_1568639_cleaned.svs
HTA6_2459_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-105R_A5_HE_1568640_cleaned.svs
HTA6_15_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-109NR_E29_Cohort0_1598480_cleaned.svs
HTA6_15_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-109NR_E44_Cohort0_1598481_cleaned.svs
HTA6_2460_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-111NR_A19_Cohort0_1598485_cleaned.svs
HTA6_2453_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-112NR_A4_Cohort0_1598487_cleaned.svs
HTA6_16_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-120NR_A7_Cohort0_1598488_cleaned.svs
HTA6_17_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-121NR_A10_Cohort0_1598489_cleaned.svs
HTA6_17_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-121NR_A12_Cohort0_1598490_cleaned.svs
HTA6_18_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-129NR_A4_Cohort0_1598494_cleaned.svs
HTA6_2410_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-130NR_A8_Cohort0_1598496_cleaned.svs
HTA6_2454_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-136NR_A9_Cohort0_1598499_cleaned.svs
HTA6_19_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-146NR_A19_Cohort0_1598500_cleaned.svs
HTA6_19_5,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-146NR_A21_Cohort0_1598501_cleaned.svs
HTA6_20_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-156R_C6_HE_1568653_cleaned.svs
HTA6_21_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-165R_A7_HE_1568656_cleaned.svs
HTA6_22_22,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-179R_A10_HE_1568657_cleaned.svs
HTA6_24_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-201NR_E16_Cohort0_1598508_cleaned.svs
HTA6_2455_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-206NR_A5_Cohort0_1598510_cleaned.svs
HTA6_25_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-214NR_A5_Cohort0_1598441_cleaned.svs
HTA6_25_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-214NR_A6_Cohort0_1598512_cleaned.svs
HTA6_26_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-215NR_D4_Cohort0_1598514_cleaned.svs
HTA6_27_20,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-217NR_B11_Cohort0_1598516_cleaned.svs
HTA6_27_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-217NR_B17_Cohort0_1598515_cleaned.svs
HTA6_28_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-219R_A7_HE_1568662_cleaned.svs
HTA6_29_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-231NR_A17_Cohort0_1598519_cleaned.svs
HTA6_29_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-231NR_A19_Cohort0_1598520_cleaned.svs
HTA6_2461_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-237NR_A3_Cohort0_1598521_cleaned.svs
HTA6_30_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-239NR_A22_Cohort0_1598523_cleaned.svs
HTA6_31_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-240NR_A20_Cohort0_1598526_cleaned.svs
HTA6_32_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-241NR_A12_Cohort0_1598527_cleaned.svs
HTA6_32_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-241NR_A5_Cohort0_1598528_cleaned.svs
HTA6_33_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-242NR_C13_0_1609467_cleaned.svs
HTA6_34_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-243NR_B19_Cohort0_1598530_cleaned.svs
HTA6_35_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-244NR_D42_Cohort0_1598532_cleaned.svs
HTA6_36_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-256R_9_HE_1568664_cleaned.svs
HTA6_2470_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-257R_A6_Cohort2_1598534_cleaned.svs
HTA6_37_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-287R_A12_HE_1568709_cleaned.svs
HTA6_38_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-306NR_A19_Cohort0_1598537_cleaned.svs
HTA6_38_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-306NR_A32_Cohort0_1598538_cleaned.svs
HTA6_2469_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-308NR_A5_Cohort0_1601540_cleaned.svs
HTA6_2466_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-309NR_A5_Cohort0_1601543_cleaned.svs
HTA6_2462_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-310NR_C10_Cohort0_1601544_cleaned.svs
HTA6_39_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-312NR_A12_Cohort0_1601548_cleaned.svs
HTA6_39_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-312NR_A8_Cohort0_1601549_cleaned.svs
HTA6_40_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-313NR_A12_Cohort0_1601550_cleaned.svs
HTA6_40_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-313NR_A16_Cohort0_1601551_cleaned.svs
HTA6_41_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-316NR_A10_Cohort0_1601552_cleaned.svs
HTA6_42_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-317NR_D5_Cohort0_1601554_cleaned.svs
HTA6_43_2,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-319NR_C9_Cohort0_1601557_cleaned.svs
HTA6_44_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-320NR_A16_Cohort0_1601558_cleaned.svs
HTA6_45_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-321NR_B22_Cohort0_1601561_cleaned.svs
HTA6_45_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-321NR_B2_Cohort0_1601560_cleaned.svs
HTA6_46_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-322NR_E14_Cohort0_1601562_cleaned.svs
HTA6_47_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-323R_A14_HE_1568712_cleaned.svs
HTA6_48_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-324R_D24_HE_1568755_cleaned.svs
HTA6_48_4,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-324R_D44_HE_1568756_cleaned.svs
HTA6_2450_1,,,Tissue,,Unknown,Unknown,,,,Primary,Formalin,Unknown,H&E,20X,20,,,,s3://cds-290-htan-x6gj-xr09/v24.8.1.img/htan-dcc-duke/imaging_level_2_2_clean/TBCRC_HE/DCIS-325R_E8_HE_1568758_cleaned.svs
